,region_id2,calBP,mean_kde,lo10_kde,hi90_kde,StKDE,StKDE_lo,StKDE_hi,PeriodID
3286,SW Wyoming (12),3700,0.00318510192862919,0.0027956577692758,0.00361217304577934,0.354061075680834,0.298224695066264,0.41529220439073,Early Archaic
3287,SW Wyoming (12),3670,0.00321973173533845,0.00278409586335781,0.00364961676339865,0.359026108591424,0.296567012022466,0.420660680508301,Late Archaic
3288,SW Wyoming (12),3640,0.00322497905267489,0.0027644436928242,0.00364542044184058,0.359778440346738,0.293749390940051,0.42005903479846,Late Archaic
3289,SW Wyoming (12),3610,0.0031727208421979,0.00283232341952679,0.00351993199490467,0.352285943000586,0.303481616125997,0.402067185344412,Late Archaic
3290,SW Wyoming (12),3580,0.0030624680764366,0.00273987622223437,0.00340160031199767,0.336478502460002,0.290227040930057,0.385101433703591,Late Archaic
3291,SW Wyoming (12),3550,0.00291936359394148,0.00257320057315306,0.00322925113713581,0.315960961856708,0.266329994953718,0.360390948528588,Late Archaic
3292,SW Wyoming (12),3520,0.00278165578230884,0.0024456157348488,0.00309986493544398,0.296217166503131,0.248037576333208,0.341840260245231,Late Archaic
3293,Coastal Texas (2),4990,0.00170263165452441,0.000759779570803993,0.00264445087628794,0.0265952899760549,-0.0606536077023245,0.113748609494563,Middle Archaic
3294,Coastal Texas (2),4960,0.00167209684171273,0.000796970103900195,0.00249685762741537,0.0237696837069118,-0.0572120996728666,0.100090742591316,Middle Archaic
3295,Coastal Texas (2),4930,0.00165562157280013,0.000838614464054885,0.00247318847744824,0.0222451083505027,-0.0533584469305606,0.0979004655804541,Middle Archaic
3296,Coastal Texas (2),4900,0.00167147585250231,0.00093101741183065,0.00250121909894389,0.0237122191003051,-0.0448077362996246,0.100494340981445,Middle Archaic
3297,Coastal Texas (2),4870,0.00175359687971386,0.00102045329658766,0.00257364677203995,0.0313114695279562,-0.0365315893910353,0.107196595500633,Middle Archaic
3298,Coastal Texas (2),4840,0.00192152386173545,0.00103037762289895,0.0028215444749117,0.0468509632882361,-0.0356132199608661,0.130136356345428,Middle Archaic
3299,Coastal Texas (2),4810,0.00214916940717822,0.00123721895102782,0.00311637713441016,0.0679166460652231,-0.0164727013310879,0.15741934694913,Middle Archaic
3300,Coastal Texas (2),4780,0.00237772549111266,0.00142355286710136,0.00342356826413731,0.0890665875303572,0.000770118680892937,0.185845955860584,Middle Archaic
3301,Coastal Texas (2),4750,0.00256434006587479,0.00159074969910813,0.00355567541800021,0.106335378913274,0.0162420463987019,0.198070782796835,Middle Archaic
3302,Coastal Texas (2),4720,0.00269309354211858,0.00170996326713919,0.00369910628390259,0.118249865892189,0.0272737369242977,0.211343474408926,Middle Archaic
3303,Coastal Texas (2),4690,0.00274530886660684,0.00169096627592743,0.00375950517104232,0.123081726140663,0.0255158084315356,0.216932618681852,Middle Archaic
3304,Coastal Texas (2),4660,0.00269475376321894,0.00175461380579075,0.00359766962275102,0.118403498114475,0.0314055730260133,0.201956809180667,Middle Archaic
3305,Coastal Texas (2),4630,0.00252571247749253,0.00151611332792385,0.00344560846341147,0.102760889802502,0.00933540512911183,0.187885494325297,Middle Archaic
3306,Coastal Texas (2),4600,0.00226187218637548,0.00131448851836384,0.00324936288177161,0.0783458463820418,-0.00932239144626366,0.169725476473114,Middle Archaic
3307,Coastal Texas (2),4570,0.0019623330775965,0.00102326891924129,0.00305682412975495,0.050627334110843,-0.0362710395369822,0.151908478278087,Middle Archaic
3308,Coastal Texas (2),4540,0.00169387168927567,0.000871513387783401,0.00277312382405109,0.0257846672656107,-0.0503140724420494,0.125655644592861,Middle Archaic
3309,Coastal Texas (2),4510,0.00150361302036976,0.000815959684197662,0.00227947517458006,0.00817866159153405,-0.0554548569654089,0.0799747777310981,Middle Archaic
3310,Coastal Texas (2),4480,0.00141523060719535,0.000726677029842852,0.00216227852186569,0,-0.0637168243606751,0.0691297269140319,Middle Archaic
3311,Coastal Texas (2),4450,0.00143063849368361,0.000702195226590848,0.00216654562320447,0.00142580276892342,-0.0659823020361211,0.069524592550455,Middle Archaic
3312,Coastal Texas (2),4420,0.00153429664067632,0.000842582159809147,0.00234345960764854,0.0110180380905134,-0.0529912874504473,0.0858957184069382,Middle Archaic
3313,Coastal Texas (2),4390,0.00169129503220708,0.000915624170594711,0.0025560710669218,0.0255462306191723,-0.0462321838378148,0.105570188852171,Middle Archaic
3314,Coastal Texas (2),4360,0.00185783928348435,0.0010096208717121,0.00278585633962927,0.0409577703394592,-0.0375339917252885,0.126833876012243,Middle Archaic
3315,Coastal Texas (2),4330,0.00200019909204062,0.00120449430173914,0.00292938707735628,0.0541313492970714,-0.0195009489498257,0.140115809483962,Middle Archaic
3316,Coastal Texas (2),4300,0.00210687189429011,0.00135488352661296,0.00288260707545977,0.064002552393751,-0.00558435023884743,0.135786918802872,Middle Archaic
3317,Coastal Texas (2),4270,0.00218297258647927,0.00135238459819214,0.00304333143539518,0.0710446978380984,-0.00581559409338004,0.150659902038052,Middle Archaic
3318,Coastal Texas (2),4240,0.00224247619097431,0.00130325348749868,0.00319959534911675,0.0765509951563338,-0.010362049813989,0.165120128042239,Middle Archaic
3319,Coastal Texas (2),4210,0.00229750573119585,0.00139061511882802,0.00336080309567922,0.0816432750663828,-0.00227784852252827,0.180037842525396,Middle Archaic
3320,Coastal Texas (2),4180,0.00234742199945706,0.00144697389872891,0.00329698137923091,0.0862623870747312,0.00293743551380598,0.174131959190988,Middle Archaic
3321,Coastal Texas (2),4150,0.00238251144018071,0.00143111311957564,0.00332060800008202,0.0895094658860852,0.00146972332295754,0.176318300676272,Middle Archaic
3322,Coastal Texas (2),4120,0.00239624049462143,0.00145677856803089,0.00325371756389005,0.090779914227666,0.00384473221863325,0.170128446590202,Middle Archaic
3323,Coastal Texas (2),4090,0.00239023244770064,0.00144817609665305,0.00332035696256005,0.0902239463509554,0.0030486835509942,0.17629507036534,Middle Archaic
3324,Coastal Texas (2),4060,0.00237256022927075,0.00141043908759131,0.00339718706289362,0.0885886086302648,-0.000443393837565195,0.183404713201544,Middle Archaic
3325,Coastal Texas (2),4030,0.00235128795576474,0.00143722871666043,0.003269895620815,0.0866201318706981,0.00203564359137107,0.171625518779629,Middle Archaic
3326,Coastal Texas (2),4000,0.00232921814064606,0.00158530148719508,0.00320856281271076,0.0845778528384753,0.0157378840895345,0.165949952069844,Late Archaic
3327,Coastal Texas (2),3970,0.00231686378163045,0.00159000128102904,0.00304248818623816,0.0834346149708963,0.0161727898806008,0.150581870116939,Late Archaic
3328,Coastal Texas (2),3940,0.0023485559846247,0.00159777885540006,0.0031052674842864,0.0863673228940063,0.0168925048838336,0.156391290964924,Late Archaic
3329,Coastal Texas (2),3910,0.00247532170945006,0.00169575109681142,0.00327079886090373,0.0980978689100585,0.0259585823882617,0.171709102093959,Late Archaic
3330,Coastal Texas (2),3880,0.00272453192917539,0.00194215963214358,0.00359403408348564,0.121159086397562,0.0487605398293936,0.201620386534053,Late Archaic
3331,Coastal Texas (2),3850,0.00307229711793325,0.00220916492466206,0.00409850090491004,0.153340305375526,0.0734684636371312,0.248302336804469,Late Archaic
3332,Coastal Texas (2),3820,0.00344191564979708,0.00255122869776722,0.00431632713274021,0.187543771670439,0.105122089539264,0.268459367362889,Late Archaic
3333,Coastal Texas (2),3790,0.00373711598500578,0.00284686182498839,0.00458289607470077,0.214860785957151,0.132479153189671,0.293126912509076,Late Archaic
3334,Coastal Texas (2),3760,0.00389188885501694,0.00304460425052767,0.00473029570424118,0.229183034942069,0.15077768479441,0.306766862420261,Late Archaic
3335,Coastal Texas (2),3730,0.00389952421807985,0.00299252000801147,0.00487138567162659,0.229889590108161,0.145957954505411,0.319822933823616,Late Archaic
3336,Coastal Texas (2),3700,0.0037872431823071,0.00288973570194028,0.00488165448215855,0.219499416749575,0.136446581981355,0.320773180861143,Late Archaic
3337,Coastal Texas (2),3670,0.00359048957707144,0.00263783173573289,0.00455299259948111,0.201292387813159,0.113136092720216,0.290359728456862,Late Archaic
3338,Coastal Texas (2),3640,0.0033373168382973,0.00248303833245025,0.00418485321591136,0.177864489883403,0.0988119436437219,0.256293138412625,Late Archaic
3339,Coastal Texas (2),3610,0.00304915136335233,0.00232660766590394,0.00377308076504679,0.151198461911436,0.0843362867990084,0.218188866223402,Late Archaic
3340,Coastal Texas (2),3580,0.00275137076412635,0.00207407372674171,0.00363688712009626,0.123642677201332,0.0609675016006537,0.205585886818779,Late Archaic
3341,Coastal Texas (2),3550,0.00248125504142504,0.00179072203264681,0.00324652814464751,0.0986469228744237,0.0347469274597661,0.169463157819365,Late Archaic
3342,Coastal Texas (2),3520,0.00227852481770492,0.00161272080813853,0.00290222636914897,0.0798868343609887,0.0182751914452824,0.137602433428302,Late Archaic
3343,Coastal Texas (2),3490,0.0021653151474799,0.00158885977739948,0.00277377894458715,0.0694107277646177,0.0160671583238643,0.125716267616986,Late Archaic
3344,Coastal Texas (2),3460,0.00213872866940605,0.00162021218604564,0.00266467906936836,0.0669504893612185,0.0189684226273236,0.115620469968507,Late Archaic
3345,Coastal Texas (2),3430,0.00219660161633268,0.00164679288343149,0.00279302121793537,0.0723058901838202,0.021428126102005,0.127496893833384,Late Archaic
3346,Coastal Texas (2),3400,0.00235465477703908,0.0016813177002855,0.00295421918834582,0.0869316881051689,0.0246229561979138,0.142413703658746,Late Archaic
3347,Coastal Texas (2),3370,0.00262891376778009,0.0018329633212987,0.00341356577398688,0.112310848880968,0.0386558182974985,0.184920353367116,Late Archaic
3348,Coastal Texas (2),3340,0.00299059014459485,0.00211726885473924,0.00392114016018332,0.145779370336508,0.0649646580665861,0.231889868999592,Late Archaic
3349,Coastal Texas (2),3310,0.00334524881820999,0.00242060361598267,0.00420747291058164,0.178598493144082,0.0930344094125152,0.258386301762294,Late Archaic
3350,Coastal Texas (2),3280,0.00359314220836256,0.0027767838106689,0.00434500117815317,0.201537854901893,0.125994329529168,0.271112783415584,Late Archaic
3351,Coastal Texas (2),3250,0.00368820501268878,0.00285715401104382,0.00443630441509427,0.210334701226876,0.133431563332833,0.279561729878262,Late Archaic
3352,Coastal Texas (2),3220,0.00364586210627617,0.00273694038698839,0.00452251818655782,0.206416406965466,0.122307330416709,0.287539711424646,Late Archaic
3353,Coastal Texas (2),3190,0.00350604162877647,0.00255709599441321,0.00453171824730234,0.193477810609423,0.105665032778774,0.288391059342726,Late Archaic
3354,Coastal Texas (2),3160,0.00332457077559009,0.0023257185566753,0.00441472935079117,0.176685004850549,0.084254011114992,0.277565233704273,Late Archaic
3355,Coastal Texas (2),3130,0.00317035459640194,0.00212063597516646,0.00433085468598434,0.162414270479103,0.0652762419838277,0.269803706552884,Late Archaic
3356,Coastal Texas (2),3100,0.00310374493898121,0.00208053382362762,0.0040747224639529,0.156250398876083,0.0615653009181959,0.24610194631073,Late Archaic
3357,Coastal Texas (2),3070,0.00314014725009754,0.00224799632215517,0.00410340362328438,0.159618967045665,0.0770618126736156,0.24875602066557,Late Archaic
