,LabID,Age,Error,Material,Taxa,d13C,Method,Longitude,Latitude,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib
33753,Beta-217738,1270,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16407,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33754,Beta-217739,100,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16407,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33791,Beta-217806,830,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-9595,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mattingly 2007,intcal20
33792,Beta-217807,1190,50,CHARCOAL,Charcoal (Adenostoma and Ceanothus),NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-9595,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mattingly 2007,intcal20
33793,Beta-217808,830,50,CHARCOAL,Charcoal (Ceanothus),NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-9595,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mattingly 2007,intcal20
34397,Beta-221312,5160,50,CHARCOAL,floral,NA,NA,-118.7300953,35.34288817,1,NA,CA-KER-4623,Sunflower,USA,California,North America,UWyo2021,Tiley 2008,intcal20
34661,Beta-223043,1630,40,CHARCOAL,NA,-24.9,AMS,-118.22564,34.3205641,1,NA,CA-LAN-2464,Paradise Ranch Knoll Earth Oven Site,USA,California,North America,UWyo2021,Vance 2009 Investigation of the Paradise Ranch�,intcal20
35129,Beta-226383,3520,40,CHARCOAL,NA,-21.6,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-12464,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35130,Beta-226384,2460,40,CHARCOAL,NA,-22.9,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-67,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35131,Beta-226385,3570,40,CHARCOAL,NA,-23.7,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-10073,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35132,Beta-226386,1430,40,CHARCOAL,NA,-24.6,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-10074,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35160,Beta-226638,2010,40,CHARCOAL,NA,-24,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-10078,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35161,Beta-226639,4840,40,CHARCOAL,NA,-21.2,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-10075,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
35240,Beta-227262,2010,40,CHARCOAL,NA,-25.7,NA,-118.22564,34.3205641,1,NA,CA-LAN-�,FS-051253134 BM/CP,USA,California,North America,UWyo2021,NA,intcal20
37076,Beta-239141,40,40,CHARCOAL,NA,NA,NA,-120.0183356,34.67161852,1,NA,CA-SCRI-801,NA,USA,California,North America,UWyo2021,Perry and Glassow 2015-Prehistoric Settlement in Island Interiors;,intcal20
37178,Beta-239930,510,70,CHARCOAL,NA,-23.1,NA,-118.22564,34.3205641,1,NA,CA-SCLI-1787,NA,USA,California,North America,UWyo2021,NA,intcal20
37336,Beta-240533,370,60,CHARCOAL,NA,-22.5,NA,-118.22564,34.3205641,1,NA,CA-SCLI-�,OAF/E-8/CF,USA,California,North America,UWyo2021,NA,intcal20
37809,Beta-243465,910,40,CHARCOAL,NA,-25.9,NA,-119.0844612,34.45500084,1,NA,CA-SNI-5,NA,USA,California,North America,UWyo2021,NA,intcal20
37813,Beta-243469,790,40,CHARCOAL,NA,-24.8,NA,-119.0844612,34.45500084,1,NA,CA-SNI-339,NA,USA,California,North America,UWyo2021,NA,intcal20
38518,Beta-247914,680,40,CHARCOAL,NA,-12.8,NA,-118.7300953,35.34288817,1,NA,CA-KER-�,Beacon Solar Site 11,USA,California,North America,UWyo2021,Apple Cleland 2008,intcal20
38519,Beta-247915,190,40,CHARCOAL,NA,-11.8,NA,-118.7300953,35.34288817,1,NA,CA-KER-�,Beacon Solar Site 12,USA,California,North America,UWyo2021,Apple Cleland 2008,intcal20
38520,Beta-247916,880,40,CHARCOAL,NA,-10.9,NA,-118.7300953,35.34288817,1,NA,CA-KER-�,Beacon Solar Site 13,USA,California,North America,UWyo2021,Apple Cleland 2008,intcal20
38529,Beta-248247,590,40,CHARCOAL,NA,-22.9,NA,-118.7300953,35.34288817,1,NA,CA-KER-�,Beacon Solar Site 8,USA,California,North America,UWyo2021,Apple Cleland 2008,intcal20
38578,Beta-248579,1560,40,CHARCOAL,NA,NA,NA,-118.7300953,35.34288817,1,NA,CA-KER-226,Boulder Spring,USA,California,North America,UWyo2021,Allen 2013-Living on the Edge,intcal20
38579,Beta-248580,420,40,CHARCOAL,NA,NA,NA,-118.7300953,35.34288817,1,NA,CA-KER-7432,Ed's Terrace,USA,California,North America,UWyo2021,Allen 2013-Living on the Edge,intcal20
38926,Beta-251089,750,40,CHARCOAL,NA,NA,NA,-118.22564,34.3205641,1,NA,CA-SCLI-5,Buds/NW-2,USA,California,North America,UWyo2021,NA,intcal20
38930,Beta-251093,1280,40,CHARCOAL,NA,NA,NA,-118.22564,34.3205641,1,NA,CA-SCLI-38,C1-12,USA,California,North America,UWyo2021,NA,intcal20
38935,Beta-251098,670,40,CHARCOAL,NA,NA,NA,-118.22564,34.3205641,1,NA,CA-SCLI-916,NA,USA,California,North America,UWyo2021,NA,intcal20
40548,Beta-261353,10090,50,CHARCOAL,NA,NA,NA,-120.0183356,34.67161852,1,NA,CA-SRI-512,NA,USA,California,North America,UWyo2021,Erlandson et al 2011-Paleoindian Seafaring�,intcal20
41701,Beta-273756,230,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41702,Beta-273757,1850,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41703,Beta-273758,1590,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41704,Beta-273759,1630,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41786,Beta-274739,1690,40,CHARCOAL,NA,-22,NA,-116.7357302,33.03555017,1,NA,CA-SDI-13325,NA,USA,California,North America,UWyo2021,Scharlotta 2015 (personal comm),intcal20
41839,Beta-275138,1780,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41840,Beta-275139,1820,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2646,Maverick,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
41841,Beta-275140,1880,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2216,NA,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
42183,Beta-280207,1400,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2647/H,Burned cow,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
42184,Beta-280208,940,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2647/H,Burned cow,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
42185,Beta-280209,1450,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-2647/H,Burned cow,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
42188,Beta-280211,170,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-1180,NA,USA,California,North America,UWyo2021,Faught et al. 2010,intcal20
42274,Beta-281016,1090,40,CHARCOAL,NA,NA,NA,-118.7300953,35.34288817,1,NA,CA-KER-7432,Ed's Terrace,USA,California,North America,UWyo2021,Allen 2013-Living on the Edge,intcal20
43385,Beta-294514,1050,30,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-1778,NA,USA,California,North America,UWyo2021,Faught et al. 2011,intcal20
43388,Beta-294518,1100,30,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-1778,NA,USA,California,North America,UWyo2021,Faught et al. 2011,intcal20
43389,Beta-294519,1020,30,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-1778,NA,USA,California,North America,UWyo2021,Faught et al. 2011,intcal20
43436,Beta-295560,1050,30,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-1778,NA,USA,California,North America,UWyo2021,Faught et al. 2011,intcal20
44889,Beta-3161955,710,30,CHARCOAL,Hesperoyucca whipplei,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBA-586,Blue Moon 2,USA,California,North America,UWyo2021,Far Western et al. 2014,intcal20
44890,Beta-3161956,560,30,CHARCOAL,Hesperoyucca whipplei,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBA-586,Blue Moon 2,USA,California,North America,UWyo2021,Far Western et al. 2014,intcal20
44891,Beta-3161957,1500,30,CHARCOAL,Hesperoyucca whipplei,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBA-586,Blue Moon 2,USA,California,North America,UWyo2021,Far Western et al. 2014,intcal20
44892,Beta-3161958,2980,30,CHARCOAL,Hesperoyucca whipplei,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBA-586,Blue Moon 2,USA,California,North America,UWyo2021,Far Western et al. 2014,intcal20
46152,Beta-340132,1010,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46153,Beta-340133,1520,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46154,Beta-340134,660,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46155,Beta-340135,150,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46156,Beta-340136,1420,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46157,Beta-340137,1230,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46158,Beta-340138,380,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46159,Beta-340139,290,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46160,Beta-340140,1210,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
46161,Beta-340141,1730,30,CHARCOAL,NA,NA,NA,-116.7357302,33.03555017,1,NA,CA-SDI-7074,NA,USA,California,North America,UWyo2021,Laylander et al 2014-A Regional Synthesis of Prehistoric Archaeolgoical Landscape,intcal20
