"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region"
215484,"AA-21621",7780,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215485,"AA-21622",7660,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215486,"AA-21623",7665,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215487,"AA-21624",7935,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215488,"AA-21625",7780,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215489,"AA-21626",7480,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215490,"AA-21627",8110,60,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215491,"AA-21628",1760,40,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215492,"AA-21629",5415,60,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
200137,"AA-21630",3395,60,"nutshell (charred)","Corylus avellana",1141,"Colonsay, Staosnaig",-6.1984,56.0611,"Scotland"
215493,"AA-21631",4740,50,"wood","Salix",1142,"Bolsay Farm, Port Charlotte",-6.4232,55.7276,"Scotland"
215494,"AA-21632",7400,55,"charcoal","Corylus avellana",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
215495,"AA-21633",6810,55,"charcoal","Alnus",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
215496,"AA-21634",4460,50,"charcoal","Salix",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
200138,"AA-21635",4290,45,"charcoal","Betula",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
200139,"AA-21636",3930,45,"charcoal","Alnus",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
200140,"AA-21637",4200,55,"charcoal","Quercus",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
215497,"AA-21638",4640,55,"charcoal","Alnus",1162,"Bolsay, Islay",-6.4232,55.7276,"Scotland"
200141,"AA-22181",3415,55,"bone","Homo sapiens",1174,"Westhaugh of Tulliemet",-3.6542,56.6416,"Scotland"
62136,"AA-22184",3410,55,"charcoal","Fraxinus",1256,"Flixton Park Quarry, Waveney",1.3725,52.2256,"SEEngland"
62137,"AA-22185",3980,45,"charcoal","Pomoideae",1256,"Flixton Park Quarry, Waveney",1.3725,52.2256,"SEEngland"
