"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"140124","SMU-2290",1121,74,"charcoal",NA,NA,"Radiometric",-68.669135,-16.556965,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Albarracin-Jordan & Mathews 1990:132","shcal20"
"140127","SMU-2330",1079,109,"charcoal",NA,NA,"Radiometric",-68.672584,-16.555905,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140128","SMU-2367",1152,78,"charcoal",NA,NA,"Radiometric",-68.672584,-16.555905,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140132","SMU-2465",1105,53,"charcoal",NA,NA,"Radiometric",-68.674724,-16.555128,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140133","SMU-2466",1174,59,"charcoal",NA,NA,"Radiometric",-68.674724,-16.555128,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140134","SMU-2467",1132,61,"charcoal",NA,NA,"Radiometric",-68.674724,-16.555128,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140135","SMU-2468",1392,49,"charcoal",NA,NA,"Radiometric",-68.672584,-16.555905,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:36","shcal20"
"140136","SMU-2469",1191,101,"charcoal",NA,NA,"Radiometric",-68.669135,-16.556965,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 2003:37","shcal20"
"140137","SMU-2472",1197,115,"charcoal",NA,NA,"Radiometric",-68.674724,-16.555128,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 1994:158","shcal20"
"147007","Sa-109",1650,150,"Wood",NA,NA,NA,-68.19694,-22.936111,2,NA,NA,"Solor 6","Chile",NA,"South America","SCAR","CalPal","shcal20"
"147017","Sa-226",1700,150,"Wood",NA,NA,NA,-68.207222,-22.903611,2,NA,NA,"Quitor 6","Chile",NA,"South America","SCAR","Radiocarbon 1965 236","shcal20"
"150393","TK-101",1190,60,"basketry",NA,NA,NA,-70.1864,-20.7728,2,NA,NA,"Canamo 3","Chile",NA,"South America","SCAR","Nunez 1976","shcal20"
"150394","TK-102c",4000,140,"Charcoal",NA,NA,NA,-70.1864,-20.7728,2,NA,NA,"Canamo 1","Chile",NA,"South America","SCAR","Nunez 1976","shcal20"
"150395","TK-103a",2840,130,"Charcoal",NA,NA,NA,-70.1864,-20.7728,2,NA,NA,"Canamo 1","Chile",NA,"South America","SCAR","Gayo et al 2015","shcal20"
"150396","TK-103b",2770,130,"Charcoal",NA,NA,NA,-70.1864,-20.7728,2,NA,NA,"Canamo 1","Chile",NA,"South America","SCAR","Gayo et al 2015","shcal20"
"150402","TK-114",2370,80,"unknown",NA,NA,NA,-76.43,-12.25,2,NA,NA,"Curayacu","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"150403","TK-115",2600,100,"unknown",NA,NA,NA,-76.43,-12.25,2,NA,NA,"Curayacu","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"150409","TK-172",710,70,"Wood",NA,NA,NA,-69.534167,-21.656667,2,NA,NA,"Quillagua 1","Chile",NA,"South America","SCAR","Ziolkowski et al 1994","shcal20"
"150777","TO-3573",2040,50,"algarrobo",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","Gayo et al 2015","shcal20"
"150840","TO-4810",2060,60,"algarrobo seed",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","R. McNeely p.c. 1998; Faunmap 3715","shcal20"
"150868","TO-5631",9170,80,"otolith",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR","R. McNeely p.c. 1998","shcal20"
